15:31:21:215 [ALWAYS]	GUDE Logging Started
15:31:21:215 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:31:21:215 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:31:21:215 [ERROR]	Initialize resume cache pointer failure
15:31:21:215 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
15:31:21:215 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
15:31:23:847 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
15:31:23:847 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:31:23:847 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:31:23:847 [ERROR]	Initialize resume cache pointer failure
15:31:23:847 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
15:31:23:847 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
